n,Species,Metabolites,M,Compartment,Concentration,Citation
1,Mammal iBMK,L-Glutamic acid,0.5,,63.8,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
2,Mammal iBMK,L-Glutamine,0.5,,17.2,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
3,Mammal iBMK,L-Aspartic acid,0.5,,14.9,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
4,Mammal iBMK,UDP-GlcNAC,0.5,,8.97,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
5,Mammal iBMK,L-Alanine,0.5,,6.98,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
6,Mammal iBMK,L-Threonine,0.5,,6.69,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
7,Mammal iBMK,Pyruvic acid,0.5,,5.88,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
8,Mammal iBMK,L-Serine,0.5,,4.86,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
9,Mammal iBMK,ATP,0.5,,4.67,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
10,Mammal iBMK,CoA,0.5,Mitochondria,4.04,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
